 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   7,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  6.500E-02  3.21752E-07  1.23647E-07  4.10440E-09  6.16260E-11  2.04566E-12
  6.750E-02  3.46978E-07  1.20542E-07  4.07887E-09  6.23889E-11  2.11112E-12
  7.000E-02  3.73156E-07  1.17468E-07  4.05273E-09  6.30500E-11  2.17528E-12
  7.250E-02  4.00286E-07  1.14433E-07  4.02602E-09  6.36143E-11  2.23812E-12
  7.500E-02  4.28368E-07  1.11440E-07  3.99876E-09  6.40868E-11  2.29963E-12
  7.750E-02  4.57402E-07  1.08495E-07  3.97100E-09  6.44727E-11  2.35978E-12
  8.000E-02  4.87388E-07  1.05600E-07  3.94275E-09  6.47769E-11  2.41858E-12
  8.250E-02  5.18325E-07  1.02760E-07  3.91406E-09  6.50044E-11  2.47600E-12
  8.500E-02  5.50215E-07  9.99763E-08  3.88495E-09  6.51601E-11  2.53206E-12
  8.750E-02  5.83057E-07  9.72518E-08  3.85545E-09  6.52487E-11  2.58674E-12
  9.000E-02  6.16850E-07  9.45881E-08  3.82560E-09  6.52747E-11  2.64005E-12
  9.250E-02  6.51596E-07  9.19866E-08  3.79541E-09  6.52427E-11  2.69198E-12
  9.500E-02  6.87293E-07  8.94480E-08  3.76494E-09  6.51569E-11  2.74253E-12
  9.750E-02  7.23942E-07  8.69732E-08  3.73419E-09  6.50214E-11  2.79172E-12
  1.000E-01  7.61543E-07  8.45624E-08  3.70320E-09  6.48401E-11  2.83954E-12
  1.250E-01  1.18991E-06  6.38945E-08  3.38574E-09  6.12408E-11  3.24515E-12
  1.500E-01  1.71347E-06  4.87612E-08  3.06955E-09  5.60832E-11  3.53051E-12
  1.750E-01  2.33223E-06  3.78464E-08  2.77009E-09  5.07845E-11  3.71710E-12
  2.000E-01  3.04617E-06  2.99556E-08  2.49588E-09  4.59386E-11  3.82761E-12
  2.250E-01  3.85531E-06  2.41851E-08  2.25033E-09  4.17254E-11  3.88242E-12
  2.500E-01  4.75964E-06  1.98968E-08  2.03345E-09  3.81413E-11  3.89807E-12
  2.750E-01  5.75916E-06  1.66520E-08  1.84343E-09  3.51132E-11  3.88718E-12
  3.000E-01  6.85388E-06  1.41506E-08  1.67752E-09  3.25514E-11  3.85892E-12
  3.250E-01  8.04378E-06  1.21871E-08  1.53275E-09  3.03710E-11  3.81972E-12
  3.500E-01  9.32888E-06  1.06191E-08  1.40621E-09  2.84991E-11  3.77395E-12
  3.750E-01  1.07092E-05  9.34680E-09  1.29527E-09  2.68764E-11  3.72452E-12
  4.000E-01  1.21846E-05  8.29927E-09  1.19762E-09  2.54553E-11  3.67332E-12
  4.250E-01  1.37553E-05  7.42537E-09  1.11128E-09  2.41983E-11  3.62155E-12
  4.500E-01  1.54212E-05  6.68766E-09  1.03458E-09  2.30763E-11  3.56994E-12
  4.750E-01  1.71822E-05  6.05830E-09  9.66120E-10  2.20661E-11  3.51892E-12
  5.000E-01  1.90385E-05  5.51629E-09  9.04726E-10  2.11495E-11  3.46875E-12
  5.250E-01  2.09899E-05  5.04560E-09  8.49421E-10  2.03121E-11  3.41955E-12
  5.500E-01  2.30365E-05  4.63376E-09  7.99388E-10  1.95425E-11  3.37138E-12
  5.750E-01  2.51783E-05  4.27102E-09  7.53944E-10  1.88315E-11  3.32427E-12
  6.000E-01  2.74153E-05  3.94960E-09  7.12512E-10  1.81715E-11  3.27818E-12
  6.250E-01  2.97475E-05  3.66328E-09  6.74607E-10  1.75565E-11  3.23312E-12
  6.500E-01  3.21749E-05  3.40699E-09  6.39817E-10  1.69814E-11  3.18905E-12
  6.750E-01  3.46974E-05  3.17657E-09  6.07791E-10  1.64419E-11  3.14595E-12
  7.000E-01  3.73152E-05  2.96859E-09  5.78228E-10  1.59345E-11  3.10378E-12
  7.250E-01  4.00281E-05  2.78017E-09  5.50868E-10  1.54562E-11  3.06254E-12
  7.500E-01  4.28362E-05  2.60892E-09  5.25487E-10  1.50043E-11  3.02218E-12
  7.750E-01  4.57395E-05  2.45279E-09  5.01891E-10  1.45766E-11  2.98269E-12
  8.000E-01  4.87380E-05  2.31004E-09  4.79907E-10  1.41711E-11  2.94406E-12
  8.250E-01  5.18317E-05  2.17918E-09  4.59388E-10  1.37862E-11  2.90625E-12
  8.500E-01  5.50205E-05  2.05893E-09  4.40200E-10  1.34202E-11  2.86926E-12
  8.750E-01  5.83045E-05  1.94817E-09  4.22228E-10  1.30717E-11  2.83307E-12
  9.000E-01  6.16838E-05  1.84593E-09  4.05367E-10  1.27397E-11  2.79766E-12
  9.250E-01  6.51582E-05  1.75137E-09  3.89525E-10  1.24228E-11  2.76301E-12
  9.500E-01  6.87277E-05  1.66374E-09  3.74620E-10  1.21203E-11  2.72911E-12
  9.750E-01  7.23925E-05  1.58239E-09  3.60577E-10  1.18310E-11  2.69594E-12
  1.000E+00  7.61524E-05  1.50673E-09  3.47330E-10  1.15543E-11  2.66349E-12
