 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Electron density: Read from file z_053.den   
 #                   Number of data points =  749
 #                   Volume integral = 5.30000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 5.80420E-18 cm**2 = 2.07272E-01 a0**2
 # 1st transport cross section = 2.49328E-22 cm**2 = 8.90365E-06 a0**2
 # 2nd transport cross section = 6.90065E-22 cm**2 = 2.46427E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  4.250E-01  1.37553E-05  2.14356E-15  7.65480E+01  0.00000E+00  1.0E-07
  4.500E-01  1.54212E-05  1.77301E-15  6.33152E+01  0.00000E+00  1.8E-07
  4.750E-01  1.71822E-05  1.48219E-15  5.29298E+01  0.00000E+00  1.0E-07
  5.000E-01  1.90385E-05  1.25068E-15  4.46628E+01  0.00000E+00  1.9E-07
  5.250E-01  2.09899E-05  1.06397E-15  3.79950E+01  0.00000E+00  1.0E-07
  5.500E-01  2.30365E-05  9.11576E-16  3.25530E+01  0.00000E+00  1.8E-07
  5.750E-01  2.51783E-05  7.85874E-16  2.80641E+01  0.00000E+00  1.6E-07
  6.000E-01  2.74153E-05  6.81216E-16  2.43267E+01  0.00000E+00  1.5E-07
  6.250E-01  2.97475E-05  5.93363E-16  2.11894E+01  0.00000E+00  2.2E-07
  6.500E-01  3.21749E-05  5.19091E-16  1.85371E+01  0.00000E+00  1.0E-07
  6.750E-01  3.46974E-05  4.55912E-16  1.62809E+01  0.00000E+00  2.7E-07
  7.000E-01  3.73152E-05  4.01877E-16  1.43513E+01  0.00000E+00  1.0E-07
  7.250E-01  4.00281E-05  3.55441E-16  1.26930E+01  0.00000E+00  3.1E-07
  7.500E-01  4.28362E-05  3.15368E-16  1.12620E+01  0.00000E+00  1.0E-07
  7.750E-01  4.57395E-05  2.80653E-16  1.00223E+01  0.00000E+00  3.2E-07
  8.000E-01  4.87380E-05  2.50476E-16  8.94467E+00  0.00000E+00  1.4E-07
  8.250E-01  5.18317E-05  2.24159E-16  8.00487E+00  0.00000E+00  3.1E-07
  8.500E-01  5.50205E-05  2.01140E-16  7.18284E+00  0.00000E+00  2.4E-07
  8.750E-01  5.83045E-05  1.80948E-16  6.46176E+00  0.00000E+00  2.6E-07
  9.000E-01  6.16838E-05  1.63187E-16  5.82752E+00  0.00000E+00  3.4E-07
  9.250E-01  6.51582E-05  1.47525E-16  5.26820E+00  0.00000E+00  1.9E-07
  9.500E-01  6.87277E-05  1.33677E-16  4.77369E+00  0.00000E+00  4.2E-07
  9.750E-01  7.23925E-05  1.21404E-16  4.33540E+00  0.00000E+00  1.0E-07
  1.000E+00  7.61524E-05  1.10499E-16  3.94599E+00  0.00000E+00  1.0E-07
  1.100E+00  9.21439E-05  7.74091E-17  2.76433E+00  0.00000E+00  1.0E-07
  1.200E+00  1.09658E-04  5.58609E-17  1.99483E+00  0.00000E+00  1.0E-07
  1.300E+00  1.28695E-04  4.13570E-17  1.47689E+00  0.00000E+00  1.0E-07
  1.400E+00  1.49255E-04  3.13006E-17  1.11777E+00  0.00000E+00  1.0E-07
  1.500E+00  1.71338E-04  2.41427E-17  8.62152E-01  0.00000E+00  1.0E-07
  1.600E+00  1.94942E-04  1.89296E-17  6.75987E-01  0.00000E+00  1.0E-07
  1.700E+00  2.20070E-04  1.50558E-17  5.37654E-01  0.00000E+00  1.0E-07
  1.800E+00  2.46720E-04  1.21264E-17  4.33042E-01  0.00000E+00  1.0E-07
  1.900E+00  2.74892E-04  9.87667E-18  3.52702E-01  0.00000E+00  1.0E-07
  2.000E+00  3.04586E-04  8.12511E-18  2.90153E-01  0.00000E+00  1.0E-07
  2.100E+00  3.35803E-04  6.74473E-18  2.40859E-01  0.00000E+00  1.0E-07
  2.200E+00  3.68542E-04  5.64491E-18  2.01583E-01  0.00000E+00  1.0E-07
  2.300E+00  4.02802E-04  4.75992E-18  1.69980E-01  0.00000E+00  1.0E-07
  2.400E+00  4.38585E-04  4.04135E-18  1.44319E-01  0.00000E+00  1.0E-07
  2.500E+00  4.75889E-04  3.45310E-18  1.23312E-01  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  2.96785E-18  1.05984E-01  0.00000E+00  1.0E-07
  2.700E+00  5.55063E-04  2.56476E-18  9.15893E-02  0.00000E+00  1.0E-07
  2.800E+00  5.96931E-04  2.22773E-18  7.95538E-02  0.00000E+00  1.0E-07
  2.900E+00  6.40321E-04  1.94422E-18  6.94295E-02  0.00000E+00  1.0E-07
  3.000E+00  6.85233E-04  1.70438E-18  6.08644E-02  0.00000E+00  1.0E-07
  3.100E+00  7.31665E-04  1.50039E-18  5.35799E-02  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  1.32603E-18  4.73534E-02  0.00000E+00  1.0E-07
  3.300E+00  8.29092E-04  1.17629E-18  4.20061E-02  0.00000E+00  1.0E-07
  3.400E+00  8.80086E-04  1.04712E-18  3.73935E-02  0.00000E+00  1.0E-07
  3.500E+00  9.32601E-04  9.35233E-19  3.33978E-02  0.00000E+00  1.0E-07
  3.600E+00  9.86636E-04  8.37923E-19  2.99228E-02  0.00000E+00  1.0E-07
  3.700E+00  1.04219E-03  7.52972E-19  2.68891E-02  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  6.78545E-19  2.42313E-02  2.94640E-05  1.0E-07
  3.900E+00  1.15786E-03  6.13116E-19  2.18948E-02  3.08119E-05  1.0E-07
  4.000E+00  1.21797E-03  5.55411E-19  1.98341E-02  3.21830E-05  1.0E-07
  4.100E+00  1.27961E-03  5.04360E-19  1.80110E-02  3.35658E-05  1.0E-07
  4.200E+00  1.34276E-03  4.59063E-19  1.63934E-02  3.49673E-05  1.0E-07
  4.300E+00  1.40743E-03  4.18757E-19  1.49541E-02  3.63903E-05  1.0E-07
  4.400E+00  1.47362E-03  3.82798E-19  1.36700E-02  3.78194E-05  1.0E-07
  4.500E+00  1.54133E-03  3.50632E-19  1.25213E-02  3.92637E-05  1.0E-07
  4.600E+00  1.61056E-03  3.21790E-19  1.14913E-02  4.07242E-05  1.0E-07
  4.700E+00  1.68131E-03  2.95867E-19  1.05656E-02  4.21862E-05  1.0E-07
  4.800E+00  1.75357E-03  2.72514E-19  9.73167E-03  4.36630E-05  1.0E-07
  4.900E+00  1.82735E-03  2.51432E-19  8.97880E-03  4.51546E-05  1.0E-07
  5.000E+00  1.90265E-03  2.32360E-19  8.29771E-03  4.66438E-05  1.0E-07
  5.100E+00  1.97947E-03  2.15071E-19  7.68031E-03  4.81428E-05  1.0E-07
  5.200E+00  2.05780E-03  1.99368E-19  7.11957E-03  4.96504E-05  1.0E-07
  5.300E+00  2.13765E-03  1.85081E-19  6.60936E-03  5.11498E-05  1.0E-07
  5.400E+00  2.21902E-03  1.72057E-19  6.14427E-03  5.26582E-05  1.0E-07
  5.500E+00  2.30190E-03  1.60165E-19  5.71961E-03  5.41752E-05  1.0E-07
  5.600E+00  2.38630E-03  1.49289E-19  5.33121E-03  5.56801E-05  1.0E-07
  5.700E+00  2.47222E-03  1.39326E-19  4.97541E-03  5.71886E-05  1.0E-07
  5.800E+00  2.55965E-03  1.30184E-19  4.64896E-03  5.87000E-05  1.0E-07
  5.900E+00  2.64859E-03  1.21785E-19  4.34901E-03  6.01927E-05  1.0E-07
  6.000E+00  2.73905E-03  1.14056E-19  4.07300E-03  6.16880E-05  1.0E-07
  6.100E+00  2.83103E-03  1.06934E-19  3.81867E-03  6.31877E-05  1.0E-07
  6.200E+00  2.92452E-03  1.00362E-19  3.58400E-03  6.46632E-05  1.0E-07
  6.300E+00  3.01952E-03  9.42910E-20  3.36719E-03  6.61376E-05  1.0E-07
  6.400E+00  3.11604E-03  8.86746E-20  3.16663E-03  6.76139E-05  1.0E-07
  6.500E+00  3.21407E-03  8.34729E-20  2.98087E-03  6.90550E-05  1.0E-07
  6.600E+00  3.31362E-03  7.86493E-20  2.80862E-03  7.04958E-05  1.0E-07
  6.700E+00  3.41468E-03  7.41713E-20  2.64871E-03  7.19427E-05  1.0E-07
  6.800E+00  3.51725E-03  7.00096E-20  2.50009E-03  7.33353E-05  1.0E-07
  6.900E+00  3.62133E-03  6.61375E-20  2.36181E-03  7.47412E-05  1.0E-07
  7.000E+00  3.72692E-03  6.25311E-20  2.23303E-03  7.61451E-05  1.0E-07
  7.100E+00  3.83403E-03  5.91689E-20  2.11296E-03  7.74651E-05  1.0E-07
  7.200E+00  3.94265E-03  5.60310E-20  2.00090E-03  7.88586E-05  1.0E-07
  7.300E+00  4.05278E-03  5.30998E-20  1.89623E-03  8.01623E-05  1.0E-07
  7.400E+00  4.16442E-03  5.03591E-20  1.79836E-03  8.14650E-05  1.0E-07
  7.500E+00  4.27757E-03  4.77941E-20  1.70676E-03  8.27728E-05  1.0E-07
  7.600E+00  4.39223E-03  4.53916E-20  1.62096E-03  8.40101E-05  1.0E-07
  7.700E+00  4.50840E-03  4.31391E-20  1.54052E-03  8.52552E-05  1.0E-07
  7.800E+00  4.62608E-03  4.10255E-20  1.46505E-03  8.64733E-05  1.0E-07
  7.900E+00  4.74527E-03  3.90408E-20  1.39417E-03  8.76495E-05  1.0E-07
  8.000E+00  4.86597E-03  3.71755E-20  1.32756E-03  8.88121E-05  1.0E-07
  8.100E+00  4.98817E-03  3.54211E-20  1.26491E-03  8.99431E-05  1.0E-07
  8.200E+00  5.11188E-03  3.37697E-20  1.20594E-03  9.10351E-05  1.0E-07
  8.300E+00  5.23711E-03  3.22142E-20  1.15039E-03  9.21054E-05  1.0E-07
  8.400E+00  5.36383E-03  3.07479E-20  1.09803E-03  9.31455E-05  1.0E-07
  8.500E+00  5.49207E-03  2.93647E-20  1.04863E-03  9.41479E-05  1.0E-07
  8.600E+00  5.62181E-03  2.80589E-20  1.00200E-03  9.51199E-05  1.0E-07
  8.700E+00  5.75306E-03  2.68256E-20  9.57958E-04  9.60554E-05  1.0E-07
  8.800E+00  5.88581E-03  2.56598E-20  9.16327E-04  9.69499E-05  1.0E-07
  8.900E+00  6.02007E-03  2.45571E-20  8.76950E-04  9.78113E-05  1.0E-07
  9.000E+00  6.15583E-03  2.35135E-20  8.39682E-04  9.86373E-05  1.0E-07
  9.100E+00  6.29310E-03  2.25252E-20  8.04390E-04  9.94220E-05  1.0E-07
  9.200E+00  6.43187E-03  2.15887E-20  7.70947E-04  1.00167E-04  1.0E-07
  9.300E+00  6.57214E-03  2.07008E-20  7.39239E-04  1.00870E-04  1.0E-07
  9.400E+00  6.71392E-03  1.98585E-20  7.09159E-04  1.01528E-04  1.0E-07
  9.500E+00  6.85720E-03  1.90589E-20  6.80605E-04  1.02145E-04  1.0E-07
