 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  53,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  3.500E-02  9.32891E-08  7.33366E-07  9.55577E-08  1.96815E-10  2.56470E-11
  3.750E-02  1.07092E-07  7.15799E-07  9.52230E-08  2.05821E-10  2.73827E-11
  4.000E-02  1.21847E-07  6.97935E-07  9.48694E-08  2.14064E-10  2.90998E-11
  4.250E-02  1.37554E-07  6.79887E-07  9.44977E-08  2.21561E-10  3.07973E-11
  4.500E-02  1.54213E-07  6.61754E-07  9.41084E-08  2.28338E-10  3.24747E-11
  4.750E-02  1.71823E-07  6.43631E-07  9.37026E-08  2.34422E-10  3.41310E-11
  5.000E-02  1.90386E-07  6.25601E-07  9.32808E-08  2.39848E-10  3.57656E-11
  5.250E-02  2.09900E-07  6.07737E-07  9.28440E-08  2.44649E-10  3.73781E-11
  5.500E-02  2.30367E-07  5.90106E-07  9.23929E-08  2.48864E-10  3.89677E-11
  5.750E-02  2.51785E-07  5.72762E-07  9.19283E-08  2.52529E-10  4.05342E-11
  6.000E-02  2.74156E-07  5.55755E-07  9.14510E-08  2.55684E-10  4.20769E-11
  6.250E-02  2.97478E-07  5.39122E-07  9.09618E-08  2.58367E-10  4.35957E-11
  6.500E-02  3.21752E-07  5.22896E-07  9.04616E-08  2.60615E-10  4.50902E-11
  6.750E-02  3.46978E-07  5.07103E-07  8.99510E-08  2.62464E-10  4.65602E-11
  7.000E-02  3.73156E-07  4.91760E-07  8.94308E-08  2.63950E-10  4.80055E-11
  7.250E-02  4.00286E-07  4.76883E-07  8.89018E-08  2.65106E-10  4.94259E-11
  7.500E-02  4.28368E-07  4.62479E-07  8.83648E-08  2.65964E-10  5.08214E-11
  7.750E-02  4.57402E-07  4.48552E-07  8.78204E-08  2.66554E-10  5.21919E-11
  8.000E-02  4.87388E-07  4.35103E-07  8.72693E-08  2.66902E-10  5.35374E-11
  8.250E-02  5.18325E-07  4.22129E-07  8.67122E-08  2.67036E-10  5.48581E-11
  8.500E-02  5.50215E-07  4.09624E-07  8.61497E-08  2.66978E-10  5.61538E-11
  8.750E-02  5.83057E-07  3.97581E-07  8.55825E-08  2.66750E-10  5.74249E-11
  9.000E-02  6.16850E-07  3.85989E-07  8.50111E-08  2.66372E-10  5.86713E-11
  9.250E-02  6.51596E-07  3.74839E-07  8.44362E-08  2.65863E-10  5.98933E-11
  9.500E-02  6.87293E-07  3.64117E-07  8.38583E-08  2.65238E-10  6.10910E-11
  9.750E-02  7.23942E-07  3.53809E-07  8.32778E-08  2.64512E-10  6.22647E-11
  1.000E-01  7.61543E-07  3.43903E-07  8.26953E-08  2.63699E-10  6.34146E-11
  1.250E-01  1.18991E-06  2.63699E-07  7.68518E-08  2.52751E-10  7.36674E-11
  1.500E-01  1.71347E-06  2.08595E-07  7.11799E-08  2.39923E-10  8.18773E-11
  1.750E-01  2.33223E-06  1.68891E-07  6.58429E-08  2.26633E-10  8.83619E-11
  2.000E-01  3.04617E-06  1.38884E-07  6.08974E-08  2.12992E-10  9.34009E-11
  2.250E-01  3.85531E-06  1.15403E-07  5.63495E-08  1.99105E-10  9.72296E-11
  2.500E-01  4.75964E-06  9.66366E-08  5.21851E-08  1.85253E-10  1.00050E-10
  2.750E-01  5.75916E-06  8.14652E-08  4.83831E-08  1.71787E-10  1.02038E-10
  3.000E-01  6.85388E-06  6.91240E-08  4.49199E-08  1.59015E-10  1.03347E-10
  3.250E-01  8.04378E-06  5.90444E-08  4.17707E-08  1.47147E-10  1.04111E-10
  3.500E-01  9.32888E-06  5.07808E-08  3.89104E-08  1.36289E-10  1.04443E-10
  3.750E-01  1.07092E-05  4.39755E-08  3.63134E-08  1.26455E-10  1.04436E-10
  4.000E-01  1.21846E-05  3.83394E-08  3.39548E-08  1.17598E-10  1.04164E-10
  4.250E-01  1.37553E-05  3.36397E-08  3.18106E-08  1.09632E-10  1.03686E-10
  4.500E-01  1.54212E-05  2.96898E-08  2.98580E-08  1.02451E-10  1.03048E-10
  4.750E-01  1.71822E-05  2.63418E-08  2.80763E-08  9.59484E-11  1.02283E-10
  5.000E-01  1.90385E-05  2.34786E-08  2.64465E-08  9.00208E-11  1.01418E-10
  5.250E-01  2.09899E-05  2.10085E-08  2.49518E-08  8.45775E-11  1.00471E-10
  5.500E-01  2.30365E-05  1.88594E-08  2.35772E-08  7.95410E-11  9.94579E-11
  5.750E-01  2.51783E-05  1.69749E-08  2.23094E-08  7.48474E-11  9.83888E-11
  6.000E-01  2.74153E-05  1.53109E-08  2.11371E-08  7.04455E-11  9.72727E-11
  6.250E-01  2.97475E-05  1.38325E-08  2.00502E-08  6.62950E-11  9.61164E-11
  6.500E-01  3.21749E-05  1.25121E-08  1.90401E-08  6.23654E-11  9.49262E-11
  6.750E-01  3.46974E-05  1.13277E-08  1.80992E-08  5.86332E-11  9.37071E-11
  7.000E-01  3.73152E-05  1.02614E-08  1.72212E-08  5.50810E-11  9.24642E-11
  7.250E-01  4.00281E-05  9.29869E-09  1.64001E-08  5.16956E-11  9.12019E-11
  7.500E-01  4.28362E-05  8.42743E-09  1.56312E-08  4.84672E-11  8.99245E-11
  7.750E-01  4.57395E-05  7.63751E-09  1.49101E-08  4.53881E-11  8.86361E-11
  8.000E-01  4.87380E-05  6.92029E-09  1.42329E-08  4.24521E-11  8.73408E-11
  8.250E-01  5.18317E-05  6.26832E-09  1.35963E-08  3.96539E-11  8.60422E-11
