 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file z_001.den   
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.10762E-20 cm**2 = 3.95538E-04 a0**2
 # 1st transport cross section = 1.00214E-25 cm**2 = 3.57869E-09 a0**2
 # 2nd transport cross section = 2.89045E-25 cm**2 = 1.03220E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  2.250E-02  3.85531E-08  1.65085E-15  5.89530E+01  0.00000E+00  1.0E-07
  2.500E-02  4.75965E-08  1.59877E-15  5.70932E+01  0.00000E+00  1.0E-07
  2.750E-02  5.75917E-08  1.54384E-15  5.51315E+01  0.00000E+00  1.0E-07
  3.000E-02  6.85389E-08  1.48664E-15  5.30891E+01  0.00000E+00  1.0E-07
  3.250E-02  8.04380E-08  1.42778E-15  5.09868E+01  0.00000E+00  1.0E-07
  3.500E-02  9.32891E-08  1.36779E-15  4.88446E+01  0.00000E+00  1.0E-07
  3.750E-02  1.07092E-07  1.30721E-15  4.66813E+01  0.00000E+00  1.0E-07
  4.000E-02  1.21847E-07  1.24652E-15  4.45141E+01  0.00000E+00  1.0E-07
  4.250E-02  1.37554E-07  1.18616E-15  4.23587E+01  0.00000E+00  1.0E-07
  4.500E-02  1.54213E-07  1.12653E-15  4.02291E+01  0.00000E+00  1.0E-07
  4.750E-02  1.71823E-07  1.06796E-15  3.81375E+01  0.00000E+00  1.0E-07
  5.000E-02  1.90386E-07  1.01075E-15  3.60944E+01  0.00000E+00  1.0E-07
  5.250E-02  2.09900E-07  9.55136E-16  3.41085E+01  0.00000E+00  1.0E-07
  5.500E-02  2.30367E-07  9.01327E-16  3.21870E+01  0.00000E+00  1.0E-07
  5.750E-02  2.51785E-07  8.49474E-16  3.03353E+01  0.00000E+00  1.0E-07
  6.000E-02  2.74156E-07  7.99694E-16  2.85576E+01  0.00000E+00  1.0E-07
  6.250E-02  2.97478E-07  7.52068E-16  2.68568E+01  0.00000E+00  1.0E-07
  6.500E-02  3.21752E-07  7.06643E-16  2.52347E+01  0.00000E+00  1.0E-07
  6.750E-02  3.46978E-07  6.63441E-16  2.36919E+01  0.00000E+00  1.0E-07
  7.000E-02  3.73156E-07  6.22457E-16  2.22283E+01  0.00000E+00  1.0E-07
  7.250E-02  4.00286E-07  5.83668E-16  2.08432E+01  0.00000E+00  1.0E-07
  7.500E-02  4.28368E-07  5.47033E-16  1.95349E+01  0.00000E+00  1.0E-07
  7.750E-02  4.57402E-07  5.12496E-16  1.83016E+01  0.00000E+00  1.0E-07
  8.000E-02  4.87388E-07  4.79993E-16  1.71409E+01  0.00000E+00  1.0E-07
  8.250E-02  5.18325E-07  4.49449E-16  1.60501E+01  0.00000E+00  1.0E-07
  8.500E-02  5.50215E-07  4.20785E-16  1.50265E+01  0.00000E+00  1.0E-07
  8.750E-02  5.83057E-07  3.93915E-16  1.40670E+01  0.00000E+00  1.0E-07
  9.000E-02  6.16850E-07  3.68753E-16  1.31684E+01  0.00000E+00  1.0E-07
  9.250E-02  6.51596E-07  3.45213E-16  1.23278E+01  0.00000E+00  1.0E-07
  9.500E-02  6.87293E-07  3.23204E-16  1.15418E+01  0.00000E+00  1.0E-07
  9.750E-02  7.23942E-07  3.02643E-16  1.08076E+01  0.00000E+00  1.0E-07
  1.000E-01  7.61543E-07  2.83443E-16  1.01219E+01  0.00000E+00  1.0E-07
  1.250E-01  1.18991E-06  1.49836E-16  5.35074E+00  0.00000E+00  1.0E-07
  1.500E-01  1.71347E-06  8.29661E-17  2.96277E+00  0.00000E+00  1.0E-07
  1.750E-01  2.33223E-06  4.84259E-17  1.72932E+00  0.00000E+00  1.0E-07
  2.000E-01  3.04617E-06  2.97268E-17  1.06156E+00  0.00000E+00  1.0E-07
  2.250E-01  3.85531E-06  1.90909E-17  6.81749E-01  0.00000E+00  1.0E-07
  2.500E-01  4.75964E-06  1.27527E-17  4.55407E-01  0.00000E+00  1.0E-07
  2.750E-01  5.75916E-06  8.81348E-18  3.14735E-01  0.00000E+00  1.4E-07
  3.000E-01  6.85388E-06  6.27254E-18  2.23996E-01  0.00000E+00  1.0E-07
  3.250E-01  8.04378E-06  4.57913E-18  1.63524E-01  0.00000E+00  1.1E-07
  3.500E-01  9.32888E-06  3.41769E-18  1.22048E-01  0.00000E+00  2.1E-07
  3.750E-01  1.07092E-05  2.60076E-18  9.28748E-02  0.00000E+00  1.3E-07
  4.000E-01  1.21846E-05  2.01319E-18  7.18922E-02  0.00000E+00  1.0E-07
  4.250E-01  1.37553E-05  1.58212E-18  5.64985E-02  0.00000E+00  2.7E-07
  4.500E-01  1.54212E-05  1.26025E-18  4.50042E-02  0.00000E+00  2.4E-07
  4.750E-01  1.71822E-05  1.01607E-18  3.62846E-02  0.00000E+00  1.0E-07
  5.000E-01  1.90385E-05  8.28181E-19  2.95749E-02  0.00000E+00  3.1E-07
  5.250E-01  2.09899E-05  6.81726E-19  2.43449E-02  0.00000E+00  3.5E-07
  5.500E-01  2.30365E-05  5.66227E-19  2.02203E-02  0.00000E+00  1.0E-07
  5.750E-01  2.51783E-05  4.74159E-19  1.69325E-02  0.00000E+00  3.0E-07
  6.000E-01  2.74153E-05  4.00053E-19  1.42861E-02  0.00000E+00  4.7E-07
  6.250E-01  2.97475E-05  3.39865E-19  1.21368E-02  0.00000E+00  2.3E-07
  6.500E-01  3.21749E-05  2.90575E-19  1.03766E-02  0.00000E+00  2.4E-07
  6.750E-01  3.46974E-05  2.49901E-19  8.92413E-03  0.00000E+00  5.6E-07
  7.000E-01  3.73152E-05  2.16098E-19  7.71701E-03  0.00000E+00  4.1E-07
  7.250E-01  4.00281E-05  1.87820E-19  6.70716E-03  0.00000E+00  1.2E-07
  7.500E-01  4.28362E-05  1.64018E-19  5.85720E-03  0.00000E+00  6.0E-07
  7.750E-01  4.57395E-05  1.43869E-19  5.13765E-03  0.00000E+00  5.9E-07
  8.000E-01  4.87380E-05  1.26720E-19  4.52525E-03  0.00000E+00  1.0E-07
  8.250E-01  5.18317E-05  1.12051E-19  4.00143E-03  0.00000E+00  5.8E-07
  8.500E-01  5.50205E-05  9.94445E-20  3.55123E-03  0.00000E+00  7.7E-07
  8.750E-01  5.83045E-05  8.85613E-20  3.16258E-03  0.00000E+00  2.9E-07
  9.000E-01  6.16838E-05  7.91273E-20  2.82569E-03  0.00000E+00  4.9E-07
  9.250E-01  6.51582E-05  7.09161E-20  2.53246E-03  0.00000E+00  9.0E-07
  9.500E-01  6.87277E-05  6.37428E-20  2.27630E-03  0.00000E+00  5.5E-07
  9.750E-01  7.23925E-05  5.74541E-20  2.05172E-03  0.00000E+00  3.1E-07
  1.000E+00  7.61524E-05  5.19219E-20  1.85416E-03  0.00000E+00  1.0E-07
  1.100E+00  9.21439E-05  3.54662E-20  1.26652E-03  0.00000E+00  1.0E-07
  1.200E+00  1.09658E-04  2.50430E-20  8.94300E-04  0.00000E+00  1.0E-07
  1.300E+00  1.28695E-04  1.81826E-20  6.49312E-04  0.00000E+00  1.0E-07
  1.400E+00  1.49255E-04  1.35186E-20  4.82757E-04  0.00000E+00  1.0E-07
  1.500E+00  1.71338E-04  1.02586E-20  3.66342E-04  0.00000E+00  1.0E-07
  1.600E+00  1.94942E-04  7.92471E-21  2.82997E-04  0.00000E+00  1.0E-07
  1.700E+00  2.20070E-04  6.21836E-21  2.22062E-04  0.00000E+00  1.0E-07
  1.800E+00  2.46720E-04  4.94753E-21  1.76680E-04  0.00000E+00  1.0E-07
  1.900E+00  2.74892E-04  3.98539E-21  1.42321E-04  0.00000E+00  1.0E-07
  2.000E+00  3.04586E-04  3.24617E-21  1.15923E-04  0.00000E+00  1.0E-07
  2.100E+00  3.35803E-04  2.67066E-21  9.53709E-05  0.00000E+00  1.0E-07
  2.200E+00  3.68542E-04  2.21722E-21  7.91785E-05  0.00000E+00  1.0E-07
  2.300E+00  4.02802E-04  1.85606E-21  6.62813E-05  0.00000E+00  1.0E-07
  2.400E+00  4.38585E-04  1.56554E-21  5.59063E-05  0.00000E+00  1.0E-07
  2.500E+00  4.75889E-04  1.32969E-21  4.74842E-05  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  1.13664E-21  4.05900E-05  0.00000E+00  1.0E-07
  2.700E+00  5.55063E-04  9.77379E-22  3.49028E-05  0.00000E+00  1.0E-07
  2.800E+00  5.96931E-04  8.45062E-22  3.01777E-05  0.00000E+00  1.0E-07
  2.900E+00  6.40321E-04  7.34397E-22  2.62258E-05  0.00000E+00  1.0E-07
  3.000E+00  6.85233E-04  6.41269E-22  2.29001E-05  0.00000E+00  1.0E-07
  3.100E+00  7.31665E-04  5.62445E-22  2.00853E-05  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  4.95369E-22  1.76899E-05  0.00000E+00  1.0E-07
  3.300E+00  8.29092E-04  4.38000E-22  1.56413E-05  0.00000E+00  1.0E-07
  3.400E+00  8.80086E-04  3.88701E-22  1.38808E-05  0.00000E+00  1.0E-07
  3.500E+00  9.32601E-04  3.46146E-22  1.23611E-05  0.00000E+00  1.0E-07
  3.600E+00  9.86636E-04  3.09259E-22  1.10438E-05  0.00000E+00  1.0E-07
  3.700E+00  1.04219E-03  2.77157E-22  9.89746E-06  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  2.49114E-22  8.89604E-06  0.00000E+00  1.0E-07
  3.900E+00  1.15786E-03  2.24530E-22  8.01812E-06  0.00000E+00  1.0E-07
  4.000E+00  1.21797E-03  2.02905E-22  7.24587E-06  0.00000E+00  1.0E-07
  4.100E+00  1.27961E-03  1.83822E-22  6.56439E-06  0.00000E+00  1.0E-07
  4.200E+00  1.34276E-03  1.66930E-22  5.96118E-06  0.00000E+00  1.0E-07
  4.300E+00  1.40743E-03  1.51935E-22  5.42569E-06  0.00000E+00  1.0E-07
  4.400E+00  1.47362E-03  1.38586E-22  4.94899E-06  0.00000E+00  1.0E-07
  4.500E+00  1.54133E-03  1.26671E-22  4.52351E-06  0.00000E+00  1.0E-07
  4.600E+00  1.61056E-03  1.16010E-22  4.14279E-06  0.00000E+00  1.0E-07
  4.700E+00  1.68131E-03  1.06447E-22  3.80129E-06  0.00000E+00  1.0E-07
  4.800E+00  1.75357E-03  9.78492E-23  3.49426E-06  0.00000E+00  1.0E-07
  4.900E+00  1.82735E-03  9.01023E-23  3.21761E-06  0.00000E+00  1.0E-07
  5.000E+00  1.90265E-03  8.31070E-23  2.96780E-06  0.00000E+00  1.0E-07
  5.100E+00  1.97947E-03  7.67775E-23  2.74177E-06  0.00000E+00  1.0E-07
  5.200E+00  2.05780E-03  7.10392E-23  2.53686E-06  0.00000E+00  1.0E-07
  5.300E+00  2.13765E-03  6.58271E-23  2.35073E-06  0.00000E+00  1.0E-07
  5.400E+00  2.21902E-03  6.10843E-23  2.18136E-06  0.00000E+00  1.0E-07
  5.500E+00  2.30190E-03  5.67611E-23  2.02697E-06  0.00000E+00  1.0E-07
  5.600E+00  2.38630E-03  5.28135E-23  1.88601E-06  0.00000E+00  1.0E-07
  5.700E+00  2.47222E-03  4.92032E-23  1.75708E-06  0.00000E+00  1.0E-07
  5.800E+00  2.55965E-03  4.58962E-23  1.63898E-06  0.00000E+00  1.0E-07
  5.900E+00  2.64859E-03  4.28623E-23  1.53064E-06  0.00000E+00  1.0E-07
  6.000E+00  2.73905E-03  4.00751E-23  1.43111E-06  0.00000E+00  1.0E-07
  6.100E+00  2.83103E-03  3.75107E-23  1.33953E-06  0.00000E+00  1.0E-07
  6.200E+00  2.92452E-03  3.51481E-23  1.25516E-06  0.00000E+00  1.0E-07
  6.300E+00  3.01952E-03  3.29686E-23  1.17733E-06  0.00000E+00  1.0E-07
  6.400E+00  3.11604E-03  3.09555E-23  1.10544E-06  0.00000E+00  1.0E-07
  6.500E+00  3.21407E-03  2.90936E-23  1.03895E-06  0.00000E+00  1.0E-07
  6.600E+00  3.31362E-03  2.73697E-23  9.77388E-07  0.00000E+00  1.0E-07
  6.700E+00  3.41468E-03  2.57715E-23  9.20317E-07  0.00000E+00  1.0E-07
  6.800E+00  3.51725E-03  2.42883E-23  8.67349E-07  0.00000E+00  1.0E-07
  6.900E+00  3.62133E-03  2.29102E-23  8.18138E-07  0.00000E+00  1.0E-07
  7.000E+00  3.72692E-03  2.16285E-23  7.72367E-07  0.00000E+00  1.0E-07
  7.100E+00  3.83403E-03  2.04351E-23  7.29751E-07  0.00000E+00  1.0E-07
  7.200E+00  3.94265E-03  1.93229E-23  6.90035E-07  0.00000E+00  1.0E-07
  7.300E+00  4.05278E-03  1.82854E-23  6.52983E-07  0.00000E+00  1.0E-07
  7.400E+00  4.16442E-03  1.73165E-23  6.18384E-07  0.00000E+00  1.0E-07
  7.500E+00  4.27757E-03  1.64110E-23  5.86046E-07  0.00000E+00  1.0E-07
  7.600E+00  4.39223E-03  1.55638E-23  5.55794E-07  0.00000E+00  1.0E-07
  7.700E+00  4.50840E-03  1.47706E-23  5.27469E-07  0.00000E+00  1.0E-07
  7.800E+00  4.62608E-03  1.40273E-23  5.00924E-07  0.00000E+00  1.0E-07
  7.900E+00  4.74527E-03  1.33302E-23  4.76029E-07  0.00000E+00  1.0E-07
  8.000E+00  4.86597E-03  1.26758E-23  4.52660E-07  0.00000E+00  1.0E-07
  8.100E+00  4.98817E-03  1.20610E-23  4.30708E-07  0.00000E+00  1.0E-07
  8.200E+00  5.11188E-03  1.14831E-23  4.10069E-07  0.00000E+00  1.0E-07
  8.300E+00  5.23711E-03  1.09394E-23  3.90652E-07  0.00000E+00  1.0E-07
  8.400E+00  5.36383E-03  1.04274E-23  3.72370E-07  0.00000E+00  1.0E-07
  8.500E+00  5.49207E-03  9.94508E-24  3.55145E-07  0.00000E+00  1.0E-07
  8.600E+00  5.62181E-03  9.49029E-24  3.38904E-07  0.00000E+00  1.0E-07
  8.700E+00  5.75306E-03  9.06119E-24  3.23581E-07  0.00000E+00  1.0E-07
  8.800E+00  5.88581E-03  8.65606E-24  3.09114E-07  0.00000E+00  1.0E-07
  8.900E+00  6.02007E-03  8.27331E-24  2.95445E-07  0.00000E+00  1.0E-07
  9.000E+00  6.15583E-03  7.91148E-24  2.82524E-07  0.00000E+00  1.0E-07
  9.100E+00  6.29310E-03  7.56921E-24  2.70301E-07  0.00000E+00  1.0E-07
  9.200E+00  6.43187E-03  7.24524E-24  2.58732E-07  0.00000E+00  1.0E-07
  9.300E+00  6.57214E-03  6.93840E-24  2.47775E-07  0.00000E+00  1.0E-07
  9.400E+00  6.71392E-03  6.64764E-24  2.37391E-07  0.00000E+00  1.0E-07
  9.500E+00  6.85720E-03  6.37194E-24  2.27546E-07  0.00000E+00  1.0E-07
  9.600E+00  7.00198E-03  6.11038E-24  2.18205E-07  0.00000E+00  1.0E-07
  9.700E+00  7.14827E-03  5.86209E-24  2.09339E-07  0.00000E+00  1.0E-07
  9.800E+00  7.29605E-03  5.62629E-24  2.00918E-07  0.00000E+00  1.0E-07
  9.900E+00  7.44534E-03  5.40221E-24  1.92916E-07  0.00000E+00  1.0E-07
  1.000E+01  7.59612E-03  5.18917E-24  1.85309E-07  0.00000E+00  1.0E-07
  1.025E+01  7.97965E-03  4.70075E-24  1.67867E-07  0.00000E+00  1.0E-07
  1.050E+01  8.37255E-03  4.26843E-24  1.52428E-07  0.00000E+00  1.0E-07
  1.075E+01  8.77480E-03  3.88465E-24  1.38723E-07  0.00000E+00  1.0E-07
  1.100E+01  9.18641E-03  3.54303E-24  1.26524E-07  0.00000E+00  1.0E-07
  1.125E+01  9.60736E-03  3.23813E-24  1.15636E-07  0.00000E+00  1.0E-07
  1.150E+01  1.00376E-02  2.96531E-24  1.05893E-07  0.00000E+00  1.0E-07
  1.175E+01  1.04773E-02  2.72060E-24  9.71545E-08  0.00000E+00  1.0E-07
  1.200E+01  1.09262E-02  2.50061E-24  8.92984E-08  0.00000E+00  1.0E-07
  1.225E+01  1.13844E-02  2.30239E-24  8.22199E-08  0.00000E+00  1.0E-07
  1.250E+01  1.18520E-02  2.12341E-24  7.58285E-08  0.00000E+00  1.0E-07
  1.275E+01  1.23288E-02  1.96148E-24  7.00457E-08  0.00000E+00  1.0E-07
  1.300E+01  1.28150E-02  1.81468E-24  6.48032E-08  0.00000E+00  1.0E-07
  1.325E+01  1.33104E-02  1.68134E-24  6.00418E-08  0.00000E+00  1.0E-07
  1.350E+01  1.38150E-02  1.56002E-24  5.57092E-08  0.00000E+00  1.0E-07
  1.375E+01  1.43290E-02  1.44943E-24  5.17601E-08  0.00000E+00  1.0E-07
  1.400E+01  1.48521E-02  1.34846E-24  4.81545E-08  0.00000E+00  1.0E-07
  1.425E+01  1.53845E-02  1.25612E-24  4.48570E-08  0.00000E+00  1.0E-07
  1.450E+01  1.59262E-02  1.17155E-24  4.18367E-08  0.00000E+00  1.0E-07
  1.475E+01  1.64770E-02  1.09396E-24  3.90660E-08  0.00000E+00  1.0E-07
  1.500E+01  1.70371E-02  1.02268E-24  3.65207E-08  0.00000E+00  1.0E-07
  1.525E+01  1.76063E-02  9.57111E-25  3.41791E-08  0.00000E+00  1.0E-07
  1.550E+01  1.81848E-02  8.96703E-25  3.20218E-08  0.00000E+00  1.0E-07
  1.575E+01  1.87724E-02  8.40980E-25  3.00319E-08  0.00000E+00  1.0E-07
  1.600E+01  1.93692E-02  7.89512E-25  2.81940E-08  0.00000E+00  1.0E-07
  1.625E+01  1.99751E-02  7.41916E-25  2.64943E-08  0.00000E+00  1.0E-07
  1.650E+01  2.05901E-02  6.97847E-25  2.49206E-08  0.00000E+00  1.0E-07
  1.675E+01  2.12143E-02  6.56996E-25  2.34618E-08  0.00000E+00  1.0E-07
  1.700E+01  2.18476E-02  6.19087E-25  2.21080E-08  0.00000E+00  1.0E-07
