 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  2.000E-01  3.04617E-06  5.45149E-09  8.95714E-11  8.36007E-12  1.37361E-13
  2.250E-01  3.85531E-06  4.36859E-09  7.92878E-11  7.53684E-12  1.36790E-13
  2.500E-01  4.75964E-06  3.57039E-09  7.04601E-11  6.84418E-12  1.35067E-13
  2.750E-01  5.75916E-06  2.96808E-09  6.29016E-11  6.25855E-12  1.32636E-13
  3.000E-01  6.85388E-06  2.50386E-09  5.64251E-11  5.75967E-12  1.29795E-13
  3.250E-01  8.04378E-06  2.13928E-09  5.08600E-11  5.33110E-12  1.26744E-13
  3.500E-01  9.32888E-06  1.84812E-09  4.60592E-11  4.95980E-12  1.23609E-13
  3.750E-01  1.07092E-05  1.61214E-09  4.18985E-11  4.63554E-12  1.20475E-13
  4.000E-01  1.21846E-05  1.41834E-09  3.82748E-11  4.35019E-12  1.17392E-13
  4.250E-01  1.37553E-05  1.25733E-09  3.51031E-11  4.09736E-12  1.14393E-13
  4.500E-01  1.54212E-05  1.12213E-09  3.23133E-11  3.87191E-12  1.11496E-13
  4.750E-01  1.71822E-05  1.00756E-09  2.98477E-11  3.66970E-12  1.08711E-13
  5.000E-01  1.90385E-05  9.09617E-10  2.76588E-11  3.48736E-12  1.06040E-13
  5.250E-01  2.09899E-05  8.25260E-10  2.57069E-11  3.32215E-12  1.03485E-13
  5.500E-01  2.30365E-05  7.52092E-10  2.39593E-11  3.17177E-12  1.01043E-13
  5.750E-01  2.51783E-05  6.88221E-10  2.23884E-11  3.03435E-12  9.87094E-14
  6.000E-01  2.74153E-05  6.32143E-10  2.09711E-11  2.90828E-12  9.64809E-14
  6.250E-01  2.97475E-05  5.82640E-10  1.96881E-11  2.79222E-12  9.43522E-14
  6.500E-01  3.21749E-05  5.38725E-10  1.85227E-11  2.68504E-12  9.23181E-14
  6.750E-01  3.46974E-05  4.99589E-10  1.74610E-11  2.58576E-12  9.03735E-14
  7.000E-01  3.73152E-05  4.64564E-10  1.64908E-11  2.49353E-12  8.85134E-14
  7.250E-01  4.00281E-05  4.33094E-10  1.56019E-11  2.40764E-12  8.67330E-14
  7.500E-01  4.28362E-05  4.04715E-10  1.47853E-11  2.32746E-12  8.50277E-14
  7.750E-01  4.57395E-05  3.79034E-10  1.40333E-11  2.25243E-12  8.33932E-14
  8.000E-01  4.87380E-05  3.55721E-10  1.33391E-11  2.18209E-12  8.18254E-14
