 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.600E+00  4.39223E-03  3.92859E-12  2.77887E-13  2.29172E-13  1.62077E-14
  7.700E+00  4.50840E-03  3.82695E-12  2.71429E-13  2.26186E-13  1.60397E-14
  7.800E+00  4.62608E-03  3.72919E-12  2.65199E-13  2.23277E-13  1.58755E-14
  7.900E+00  4.74527E-03  3.63513E-12  2.59187E-13  2.20441E-13  1.57148E-14
  8.000E+00  4.86597E-03  3.54457E-12  2.53381E-13  2.17676E-13  1.55577E-14
  8.100E+00  4.98817E-03  3.45734E-12  2.47774E-13  2.14979E-13  1.54039E-14
  8.200E+00  5.11188E-03  3.37328E-12  2.42354E-13  2.12348E-13  1.52534E-14
  8.300E+00  5.23711E-03  3.29225E-12  2.37115E-13  2.09780E-13  1.51060E-14
  8.400E+00  5.36383E-03  3.21409E-12  2.32048E-13  2.07273E-13  1.49617E-14
  8.500E+00  5.49207E-03  3.13868E-12  2.27146E-13  2.04825E-13  1.48203E-14
  8.600E+00  5.62181E-03  3.06588E-12  2.22401E-13  2.02434E-13  1.46818E-14
  8.700E+00  5.75306E-03  2.99558E-12  2.17807E-13  2.00098E-13  1.45461E-14
  8.800E+00  5.88581E-03  2.92766E-12  2.13356E-13  1.97815E-13  1.44130E-14
  8.900E+00  6.02007E-03  2.86202E-12  2.09044E-13  1.95583E-13  1.42826E-14
  9.000E+00  6.15583E-03  2.79855E-12  2.04865E-13  1.93401E-13  1.41547E-14
  9.100E+00  6.29310E-03  2.73717E-12  2.00812E-13  1.91266E-13  1.40292E-14
  9.200E+00  6.43187E-03  2.67778E-12  1.96881E-13  1.89178E-13  1.39061E-14
  9.300E+00  6.57214E-03  2.62029E-12  1.93068E-13  1.87135E-13  1.37853E-14
  9.400E+00  6.71392E-03  2.56463E-12  1.89366E-13  1.85135E-13  1.36668E-14
  9.500E+00  6.85720E-03  2.51071E-12  1.85772E-13  1.83177E-13  1.35504E-14
  9.600E+00  7.00198E-03  2.45848E-12  1.82282E-13  1.81260E-13  1.34362E-14
  9.700E+00  7.14827E-03  2.40785E-12  1.78891E-13  1.79382E-13  1.33240E-14
  9.800E+00  7.29605E-03  2.35876E-12  1.75596E-13  1.77542E-13  1.32138E-14
  9.900E+00  7.44534E-03  2.31115E-12  1.72394E-13  1.75740E-13  1.31056E-14
  1.000E+01  7.59612E-03  2.26497E-12  1.69280E-13  1.73973E-13  1.29992E-14
  1.025E+01  7.97965E-03  2.15536E-12  1.61862E-13  1.69708E-13  1.27413E-14
  1.050E+01  8.37255E-03  2.05349E-12  1.54931E-13  1.65645E-13  1.24941E-14
  1.075E+01  8.77480E-03  1.95865E-12  1.48444E-13  1.61770E-13  1.22570E-14
  1.100E+01  9.18641E-03  1.87020E-12  1.42364E-13  1.58071E-13  1.20294E-14
  1.125E+01  9.60736E-03  1.78758E-12  1.36658E-13  1.54536E-13  1.18106E-14
  1.150E+01  1.00376E-02  1.71029E-12  1.31294E-13  1.51155E-13  1.16002E-14
  1.175E+01  1.04773E-02  1.63788E-12  1.26246E-13  1.47917E-13  1.13976E-14
  1.200E+01  1.09262E-02  1.56995E-12  1.21488E-13  1.44813E-13  1.12025E-14
  1.225E+01  1.13844E-02  1.50614E-12  1.16999E-13  1.41836E-13  1.10143E-14
  1.250E+01  1.18520E-02  1.44612E-12  1.12759E-13  1.38977E-13  1.08328E-14
  1.275E+01  1.23288E-02  1.38960E-12  1.08749E-13  1.36230E-13  1.06575E-14
  1.300E+01  1.28150E-02  1.33630E-12  1.04953E-13  1.33588E-13  1.04882E-14
  1.325E+01  1.33104E-02  1.28600E-12  1.01355E-13  1.31046E-13  1.03245E-14
  1.350E+01  1.38150E-02  1.23846E-12  9.79422E-14  1.28597E-13  1.01661E-14
  1.375E+01  1.43290E-02  1.19349E-12  9.47014E-14  1.26237E-13  1.00127E-14
  1.400E+01  1.48521E-02  1.15091E-12  9.16212E-14  1.23961E-13  9.86424E-15
  1.425E+01  1.53845E-02  1.11056E-12  8.86910E-14  1.21765E-13  9.72032E-15
  1.450E+01  1.59262E-02  1.07227E-12  8.59012E-14  1.19643E-13  9.58078E-15
  1.475E+01  1.64770E-02  1.03591E-12  8.32428E-14  1.17594E-13  9.44539E-15
  1.500E+01  1.70371E-02  1.00136E-12  8.07075E-14  1.15612E-13  9.31399E-15
  1.525E+01  1.76063E-02  9.68489E-13  7.82878E-14  1.13695E-13  9.18637E-15
  1.550E+01  1.81848E-02  9.37198E-13  7.59767E-14  1.11840E-13  9.06239E-15
  1.575E+01  1.87724E-02  9.07386E-13  7.37676E-14  1.10043E-13  8.94187E-15
  1.600E+01  1.93692E-02  8.78960E-13  7.16546E-14  1.08301E-13  8.82467E-15
  1.625E+01  1.99751E-02  8.51836E-13  6.96321E-14  1.06614E-13  8.71065E-15
  1.650E+01  2.05901E-02  8.25936E-13  6.76949E-14  1.04977E-13  8.59967E-15
  1.675E+01  2.12143E-02  8.01187E-13  6.58383E-14  1.03388E-13  8.49161E-15
  1.700E+01  2.18476E-02  7.77522E-13  6.40578E-14  1.01846E-13  8.38635E-15
  1.725E+01  2.24900E-02  7.54878E-13  6.23492E-14  1.00348E-13  8.28378E-15
  1.750E+01  2.31415E-02  7.33199E-13  6.07086E-14  9.88929E-14  8.18380E-15
  1.775E+01  2.38021E-02  7.12428E-13  5.91325E-14  9.74784E-14  8.08629E-15
  1.800E+01  2.44717E-02  6.92518E-13  5.76175E-14  9.61028E-14  7.99117E-15
  1.825E+01  2.51504E-02  6.73420E-13  5.61603E-14  9.47647E-14  7.89835E-15
  1.850E+01  2.58382E-02  6.55092E-13  5.47582E-14  9.34624E-14  7.80774E-15
  1.875E+01  2.65349E-02  6.37491E-13  5.34082E-14  9.21945E-14  7.71926E-15
  1.900E+01  2.72407E-02  6.20581E-13  5.21078E-14  9.09597E-14  7.63283E-15
  1.925E+01  2.79555E-02  6.04326E-13  5.08546E-14  8.97567E-14  7.54838E-15
  1.950E+01  2.86793E-02  5.88692E-13  4.96463E-14  8.85843E-14  7.46584E-15
  1.975E+01  2.94120E-02  5.73648E-13  4.84808E-14  8.74413E-14  7.38513E-15
