

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    4300      6.90499393E-06      6.91732963E-06  i
    4400      5.63659455E-06      5.64664717E-06  i
    4500      4.60272349E-06      4.61091922E-06  i
    4600      3.75966633E-06      3.76635086E-06  i
    4700      3.07193321E-06      3.07738717E-06  i
    4800      2.51069672E-06      2.51514830E-06  i
    4900      2.05253090E-06      2.05616559E-06  i
    5000      1.67838412E-06      1.68135280E-06  i
    5100      1.37275503E-06      1.37518041E-06  i
    5200      1.12302082E-06      1.12500303E-06  i
    5300      9.18906991E-07      9.20527289E-07  i
    5400      7.52034303E-07      7.53359049E-07  i
    5500      6.15575979E-07      6.16659462E-07  i
    5600      5.03964580E-07      5.04850826E-07  i
    5700      4.12630921E-07      4.13356024E-07  i
    5800      3.37915095E-07      3.38508504E-07  i
    5900      2.76789424E-07      2.77275154E-07  i
    6000      2.26704452E-07      2.27102156E-07  i
    6100      1.85725089E-07      1.86050681E-07  i
    6200      1.52159226E-07      1.52425899E-07  i
    6300      1.24679027E-07      1.24897352E-07  i
    6400      1.02170867E-07      1.02349766E-07  i
    6500      8.37328027E-08      8.38793064E-08  i
    6600      6.86105161E-08      6.87306662E-08  i
    6700      5.62330121E-08      5.63314404E-08  i
    6800      4.60898984E-08      4.61705763E-08  i
    6900      3.77769435E-08      3.78430714E-08  i
    7000      3.09633277E-08      3.10173861E-08  i
    7100      2.53558014E-08      2.54003038E-08  i
    7200      2.07763117E-08      2.08128415E-08  i
    7300      1.70216743E-08      1.70513972E-08  i
    7400      1.39428659E-08      1.39671707E-08  i
    7500      1.14178863E-08      1.14380239E-08  i
    7600      9.34704824E-09      9.36346480E-09  i
    7700      7.61316378E-09      7.62657952E-09  i
    7800      6.21814544E-09      6.22921872E-09  i
    7900      5.07328658E-09      5.08219728E-09  i
    8000      4.13291071E-09      4.14066215E-09  i
    8100      3.36065756E-09      3.36687992E-09  i
    8200      2.72560964E-09      2.73087016E-09  i
    8300      2.20250762E-09      2.20687756E-09  i
    8400      1.70474577E-09      1.70789061E-09  i
    8500      1.34499426E-09      1.34785240E-09  i
    8600      1.04202290E-09      1.04498624E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.67541E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 2.67540E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 1.254E-13, 3.606E-15)  1.00E-07
  1.250E-04 2.67540E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 1.567E-13, 4.507E-15)  1.00E-07
  1.500E-04 2.67540E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 1.880E-13, 5.408E-15)  1.00E-07
  1.750E-04 2.67540E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 2.194E-13, 6.310E-15)  1.00E-07
  2.000E-04 2.67539E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 2.507E-13, 7.211E-15)  1.00E-07
  2.250E-04 2.67539E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 2.821E-13, 8.113E-15)  1.00E-07
  2.500E-04 2.67538E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 3.134E-13, 9.014E-15)  1.00E-07
  2.750E-04 2.67537E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 3.448E-13, 9.915E-15)  1.00E-07
  3.000E-04 2.67537E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 3.761E-13, 1.082E-14)  1.00E-07
  3.250E-04 2.67536E-14  0.000E+00 ( 1.635E-07, 4.702E-09) ( 4.074E-13, 1.172E-14)  1.00E-07
