 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  8.500E-01  5.50205E-05  1.79253E-09  3.39627E-10  1.16837E-11  2.21369E-12
  8.750E-01  5.83045E-05  1.69551E-09  3.25575E-10  1.13764E-11  2.18452E-12
  9.000E-01  6.16838E-05  1.60599E-09  3.12396E-10  1.10836E-11  2.15599E-12
  9.250E-01  6.51582E-05  1.52322E-09  3.00020E-10  1.08044E-11  2.12810E-12
  9.500E-01  6.87277E-05  1.44654E-09  2.88381E-10  1.05379E-11  2.10083E-12
  9.750E-01  7.23925E-05  1.37539E-09  2.77421E-10  1.02833E-11  2.07418E-12
  1.000E+00  7.61524E-05  1.30925E-09  2.67088E-10  1.00398E-11  2.04813E-12
  1.100E+00  9.21439E-05  1.08648E-09  2.31138E-10  9.16479E-12  1.94972E-12
  1.200E+00  1.09658E-04  9.15276E-10  2.02118E-10  8.42257E-12  1.85994E-12
  1.300E+00  1.28695E-04  7.81037E-10  1.78345E-10  7.78630E-12  1.77795E-12
  1.400E+00  1.49255E-04  6.73954E-10  1.58618E-10  7.23569E-12  1.70295E-12
  1.500E+00  1.71338E-04  5.87237E-10  1.42062E-10  6.75510E-12  1.63417E-12
  1.600E+00  1.94942E-04  5.16076E-10  1.28029E-10  6.33237E-12  1.57094E-12
  1.700E+00  2.20070E-04  4.56991E-10  1.16026E-10  5.95793E-12  1.51266E-12
  1.800E+00  2.46720E-04  4.07416E-10  1.05677E-10  5.62414E-12  1.45880E-12
  1.900E+00  2.74892E-04  3.65429E-10  9.66887E-11  5.32485E-12  1.40889E-12
  2.000E+00  3.04586E-04  3.29565E-10  8.88303E-11  5.05508E-12  1.36252E-12
  2.100E+00  3.35803E-04  2.98695E-10  8.19180E-11  4.81073E-12  1.31934E-12
  2.200E+00  3.68542E-04  2.71939E-10  7.58043E-11  4.58844E-12  1.27903E-12
  2.300E+00  4.02802E-04  2.48600E-10  7.03694E-11  4.38537E-12  1.24131E-12
  2.400E+00  4.38585E-04  2.28123E-10  6.55150E-11  4.19917E-12  1.20595E-12
