 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  N,  Z =   7,  atomic weight = 1.40067E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.57926E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  7
 #
 # Electron density: Read from file z_007.den   
 #                   Number of data points =  701
 #                   Volume integral = 7.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.64241E-19 cm**2 = 9.43623E-03 a0**2
 # 1st transport cross section = 4.39991E-24 cm**2 = 1.57123E-07 a0**2
 # 2nd transport cross section = 1.26041E-23 cm**2 = 4.50100E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.250E-02  2.97478E-07  1.60899E-14  5.74581E+02  0.00000E+00  1.0E-07
  6.500E-02  3.21752E-07  1.53055E-14  5.46571E+02  0.00000E+00  1.0E-07
  6.750E-02  3.46978E-07  1.45470E-14  5.19482E+02  0.00000E+00  1.0E-07
  7.000E-02  3.73156E-07  1.38153E-14  4.93352E+02  0.00000E+00  1.0E-07
  7.250E-02  4.00286E-07  1.31111E-14  4.68205E+02  0.00000E+00  1.0E-07
  7.500E-02  4.28368E-07  1.24349E-14  4.44058E+02  0.00000E+00  1.0E-07
  7.750E-02  4.57402E-07  1.17869E-14  4.20916E+02  0.00000E+00  1.0E-07
  8.000E-02  4.87388E-07  1.11669E-14  3.98778E+02  0.00000E+00  1.0E-07
  8.250E-02  5.18325E-07  1.05749E-14  3.77636E+02  0.00000E+00  1.0E-07
  8.500E-02  5.50215E-07  1.00104E-14  3.57476E+02  0.00000E+00  1.0E-07
  8.750E-02  5.83057E-07  9.47279E-15  3.38279E+02  0.00000E+00  1.0E-07
  9.000E-02  6.16850E-07  8.96156E-15  3.20023E+02  0.00000E+00  1.0E-07
  9.250E-02  6.51596E-07  8.47594E-15  3.02681E+02  0.00000E+00  1.0E-07
  9.500E-02  6.87293E-07  8.01513E-15  2.86226E+02  0.00000E+00  1.0E-07
  9.750E-02  7.23942E-07  7.57829E-15  2.70626E+02  0.00000E+00  1.0E-07
  1.000E-01  7.61543E-07  7.16452E-15  2.55850E+02  0.00000E+00  1.0E-07
  1.250E-01  1.18991E-06  4.09398E-15  1.46199E+02  0.00000E+00  1.0E-07
  1.500E-01  1.71347E-06  2.38708E-15  8.52441E+01  0.00000E+00  1.0E-07
  1.750E-01  2.33223E-06  1.44003E-15  5.14244E+01  0.00000E+00  1.0E-07
