

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    1500      1.79031400E-02      1.79272685E-02  i
    1550      1.65855527E-02      1.66077977E-02  i
    1600      1.53697964E-02      1.53903381E-02  i
    1650      1.42463633E-02      1.42653571E-02  i
    1700      1.32070304E-02      1.32246110E-02  i
    1750      1.22446194E-02      1.22609051E-02  i
    1800      1.13528078E-02      1.13679031E-02  i
    1850      1.05259792E-02      1.05399776E-02  i
    1900      9.75910522E-03      9.77209051E-03  i
    1950      9.04765148E-03      9.05969951E-03  i
    2000      8.38750378E-03      8.39868359E-03  i
    2050      7.77490880E-03      7.78528352E-03  i
    2100      7.20642675E-03      7.21605434E-03  i
    2150      6.67889325E-03      6.68782713E-03  i
    2200      6.18938821E-03      6.19767774E-03  i
    2250      5.73521035E-03      5.74290124E-03  i
    2300      5.31385591E-03      5.32099056E-03  i
    2350      4.92300076E-03      4.92961855E-03  i
    2400      4.56048518E-03      4.56662271E-03  i
    2450      4.22430055E-03      4.22999190E-03  i
    2500      3.91257789E-03      3.91785475E-03  i
    2550      3.62357754E-03      3.62846942E-03  i
    2600      3.35567993E-03      3.36021429E-03  i
    2650      3.10737726E-03      3.11157970E-03  i
    2700      2.87726589E-03      2.88116020E-03  i
    2750      2.66403932E-03      2.66764766E-03  i
    2800      2.46648168E-03      2.46982468E-03  i
    2850      2.28346177E-03      2.28655860E-03  i
    2900      2.11392738E-03      2.11679589E-03  i
    2950      1.95690009E-03      1.95955686E-03  i
    3000      1.81147037E-03      1.81393081E-03  i
    3100      1.55208247E-03      1.55419221E-03  i
    3200      1.32969701E-03      1.33150555E-03  i
    3300      1.13908315E-03      1.14063313E-03  i
    3400      9.75735604E-04      9.77063749E-04  i
    3500      8.35777569E-04      8.36915454E-04  i
    3600      7.15875994E-04      7.16850762E-04  i
    3700      6.13167378E-04      6.14002335E-04  i
    3800      5.25193254E-04      5.25908406E-04  i
    3900      4.49843991E-04      4.50456501E-04  i
    4000      3.85310261E-04      3.85834844E-04  i
    4100      3.30040753E-04      3.30490027E-04  i
    4200      2.82705888E-04      2.83090663E-04  i
    4300      2.42166441E-04      2.42495979E-04  i
    4400      2.07446427E-04      2.07728663E-04  i
    4500      1.77709886E-04      1.77951615E-04  i
    4600      1.52240882E-04      1.52447923E-04  i
    4700      1.30426347E-04      1.30603682E-04  i
    4800      1.11741298E-04      1.11893196E-04  i
    4900      9.57362205E-05      9.58663342E-05  i
    5000      8.20262260E-05      8.21376841E-05  i
    5100      7.02817743E-05      7.03772551E-05  i
    5200      6.02206869E-05      6.03024836E-05  i
    5300      5.16013639E-05      5.16714403E-05  i
    5400      4.42169260E-05      4.42769637E-05  i
    5500      3.78902291E-05      3.79416680E-05  i
    5600      3.24695635E-05      3.25136367E-05  i
    5700      2.78250262E-05      2.78627895E-05  i
    5800      2.38453670E-05      2.38777250E-05  i
    5900      2.04352953E-05      2.04630224E-05  i
    6000      1.75132071E-05      1.75369668E-05  i
    6100      1.50092055E-05      1.50295660E-05  i
    6200      1.28634128E-05      1.28808608E-05  i
    6300      1.10245462E-05      1.10394987E-05  i
    6400      9.44866421E-06      9.46147846E-06  i
    6500      8.09813202E-06      8.10911399E-06  i
    6600      6.94070391E-06      6.95011573E-06  i
    6700      5.94874857E-06      5.95681487E-06  i
    6800      5.09859762E-06      5.10551088E-06  i
    6900      4.36997015E-06      4.37589519E-06  i
    7000      3.74548575E-06      3.75056395E-06  i
    7100      3.21025475E-06      3.21460721E-06  i
    7200      2.75151582E-06      2.75524623E-06  i
    7300      2.35833189E-06      2.36152918E-06  i
    7400      2.02133715E-06      2.02407762E-06  i
