

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    5300      1.37922032E-06      1.38131446E-06  i
    5400      1.16045936E-06      1.16222200E-06  i
    5500      9.76341983E-07      9.77825369E-07  i
    5600      8.21393235E-07      8.22641617E-07  i
    5700      6.90998812E-07      6.92049324E-07  i
    5800      5.81274713E-07      5.82158671E-07  i
    5900      4.88926741E-07      4.89670452E-07  i
    6000      4.11263930E-07      4.11889731E-07  i
    6100      3.45906574E-07      3.46433104E-07  i
    6200      2.90892056E-07      2.91334999E-07  i
    6300      2.44626262E-07      2.44998860E-07  i
    6400      2.05713656E-07      2.06027165E-07  i
    6500      1.73019747E-07      1.73283428E-07  i
    6600      1.45436018E-07      1.45657722E-07  i
    6700      1.22279548E-07      1.22466019E-07  i
    6800      1.02803662E-07      1.02960523E-07  i
    6900      8.64244445E-08      8.65563522E-08  i
    7000      7.26340994E-08      7.27450898E-08  i
    7100      6.10505740E-08      6.11438410E-08  i
    7200      5.13102873E-08      5.13886757E-08  i
    7300      4.31200335E-08      4.31859780E-08  i
    7400      3.62335010E-08      3.62890208E-08  i
    7500      3.04188048E-08      3.04654317E-08  i
    7600      2.55504314E-08      2.55894941E-08  i
    7700      2.14570599E-08      2.14901340E-08  i
    7800      1.80157503E-08      1.80434949E-08  i
    7900      1.51223249E-08      1.51456643E-08  i
    8000      1.26900549E-08      1.27098200E-08  i
    8100      1.06082306E-08      1.06249096E-08  i
    8200      8.88794438E-09      8.90196047E-09  i
    8300      7.44201826E-09      7.45349474E-09  i
    8400      6.22555228E-09      6.23513624E-09  i
    8500      5.20214487E-09      5.21059778E-09  i
    8600      4.34142246E-09      4.34815684E-09  i
    8700      3.61686312E-09      3.62250650E-09  i
    8800      2.94421583E-09      2.94913512E-09  i
    8900      2.42607263E-09      2.42998237E-09  i
    9000      1.98812132E-09      1.99191263E-09  i
    9100      1.61714604E-09      1.62047905E-09  i
    9200      1.30092719E-09      1.30377194E-09  i
    9300      1.02975498E-09      1.03215118E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 1.90149E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 1.90148E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 3.344E-14, 1.434E-16)  1.00E-07
  1.250E-04 1.90148E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 4.179E-14, 1.792E-16)  1.00E-07
  1.500E-04 1.90148E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 5.015E-14, 2.151E-16)  1.00E-07
  1.750E-04 1.90147E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 5.851E-14, 2.509E-16)  1.00E-07
  2.000E-04 1.90147E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 6.687E-14, 2.868E-16)  1.00E-07
  2.250E-04 1.90146E-15  0.000E+00 ( 4.361E-08, 1.870E-10) ( 7.523E-14, 3.226E-16)  1.00E-07
