

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     940      1.21720415E-02      1.21913201E-02  i
     960      1.17416595E-02      1.17602324E-02  i
     980      1.13270018E-02      1.13448973E-02  i
    1000      1.09274398E-02      1.09446848E-02  i
    1020      1.05423769E-02      1.05589971E-02  i
    1040      1.01712464E-02      1.01872660E-02  i
    1060      9.81350877E-03      9.82895098E-03  i
    1080      9.46864980E-03      9.48353668E-03  i
    1100      9.13617900E-03      9.15053163E-03  i
    1120      8.81562785E-03      8.82946637E-03  i
    1140      8.50654845E-03      8.51989212E-03  i
    1160      8.20851223E-03      8.22137950E-03  i
    1180      7.92110880E-03      7.93351732E-03  i
    1200      7.64394485E-03      7.65591156E-03  i
    1250      6.99339534E-03      7.00432715E-03  i
    1300      6.39903697E-03      6.40902563E-03  i
    1350      5.85590459E-03      5.86503318E-03  i
    1400      5.35949745E-03      5.36784137E-03  i
    1450      4.90572837E-03      4.91335612E-03  i
    1500      4.49088053E-03      4.49785445E-03  i
    1550      4.11157033E-03      4.11794720E-03  i
    1600      3.76471504E-03      3.77054659E-03  i
    1650      3.44750427E-03      3.45283769E-03  i
    1700      3.15737479E-03      3.16225312E-03  i
    1750      2.89198789E-03      2.89645042E-03  i
    1800      2.64920920E-03      2.65329177E-03  i
    1850      2.42709040E-03      2.43082574E-03  i
    1900      2.22385274E-03      2.22727074E-03  i
    1950      2.03787208E-03      2.04100001E-03  i
    2000      1.86766528E-03      1.87052807E-03  i
    2050      1.71187788E-03      1.71449828E-03  i
    2100      1.56927284E-03      1.57167164E-03  i
    2150      1.43872028E-03      1.44091647E-03  i
    2200      1.31918815E-03      1.32119906E-03  i
    2250      1.20973368E-03      1.21157516E-03  i
    2300      1.10949563E-03      1.11118215E-03  i
    2350      1.01768717E-03      1.01923195E-03  i
    2400      9.33589430E-04      9.35004554E-04  i
    2450      8.56545567E-04      8.57842072E-04  i
    2500      7.85955384E-04      7.87143358E-04  i
