 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  3.100E+00  7.31665E-04  1.76070E-10  7.10324E-11  4.18713E-12  1.68918E-12
  3.200E+00  7.79618E-04  1.65012E-10  6.72990E-11  4.05084E-12  1.65206E-12
  3.300E+00  8.29092E-04  1.54954E-10  6.38606E-11  3.92289E-12  1.61667E-12
  3.400E+00  8.80086E-04  1.45779E-10  6.06865E-11  3.80252E-12  1.58290E-12
  3.500E+00  9.32601E-04  1.37387E-10  5.77501E-11  3.68911E-12  1.55064E-12
  3.600E+00  9.86636E-04  1.29692E-10  5.50277E-11  3.58207E-12  1.51979E-12
  3.700E+00  1.04219E-03  1.22620E-10  5.24989E-11  3.48088E-12  1.49026E-12
  3.800E+00  1.09927E-03  1.16104E-10  5.01454E-11  3.38508E-12  1.46195E-12
  3.900E+00  1.15786E-03  1.10089E-10  4.79512E-11  3.29425E-12  1.43480E-12
  4.000E+00  1.21797E-03  1.04525E-10  4.59020E-11  3.20803E-12  1.40873E-12
  4.100E+00  1.27961E-03  9.93683E-11  4.39852E-11  3.12608E-12  1.38368E-12
  4.200E+00  1.34276E-03  9.45798E-11  4.21893E-11  3.04808E-12  1.35959E-12
  4.300E+00  1.40743E-03  9.01257E-11  4.05044E-11  2.97376E-12  1.33639E-12
  4.400E+00  1.47362E-03  8.59757E-11  3.89212E-11  2.90288E-12  1.31405E-12
  4.500E+00  1.54133E-03  8.21029E-11  3.74317E-11  2.83519E-12  1.29252E-12
  4.600E+00  1.61056E-03  7.84833E-11  3.60285E-11  2.77050E-12  1.27174E-12
  4.700E+00  1.68131E-03  7.50953E-11  3.47050E-11  2.70860E-12  1.25168E-12
  4.800E+00  1.75357E-03  7.19197E-11  3.34552E-11  2.64932E-12  1.23230E-12
  4.900E+00  1.82735E-03  6.89392E-11  3.22735E-11  2.59250E-12  1.21357E-12
  5.000E+00  1.90265E-03  6.61383E-11  3.11551E-11  2.53800E-12  1.19546E-12
  5.100E+00  1.97947E-03  6.35028E-11  3.00955E-11  2.48567E-12  1.17792E-12
  5.200E+00  2.05780E-03  6.10200E-11  2.90905E-11  2.43539E-12  1.16094E-12
  5.300E+00  2.13765E-03  5.86784E-11  2.81365E-11  2.38704E-12  1.14449E-12
  5.400E+00  2.21902E-03  5.64676E-11  2.72299E-11  2.34051E-12  1.12854E-12
  5.500E+00  2.30190E-03  5.43781E-11  2.63676E-11  2.29571E-12  1.11306E-12
  5.600E+00  2.38630E-03  5.24011E-11  2.55468E-11  2.25253E-12  1.09805E-12
  5.700E+00  2.47222E-03  5.05288E-11  2.47647E-11  2.21090E-12  1.08347E-12
  5.800E+00  2.55965E-03  4.87540E-11  2.40190E-11  2.17073E-12  1.06931E-12
  5.900E+00  2.64859E-03  4.70699E-11  2.33074E-11  2.13195E-12  1.05555E-12
  6.000E+00  2.73905E-03  4.54707E-11  2.26278E-11  2.09448E-12  1.04217E-12
  6.100E+00  2.83103E-03  4.39507E-11  2.19783E-11  2.05827E-12  1.02915E-12
  6.200E+00  2.92452E-03  4.25047E-11  2.13571E-11  2.02325E-12  1.01649E-12
  6.300E+00  3.01952E-03  4.11281E-11  2.07626E-11  1.98936E-12  1.00416E-12
  6.400E+00  3.11604E-03  3.98166E-11  2.01933E-11  1.95655E-12  9.92151E-13
  6.500E+00  3.21407E-03  3.85660E-11  1.96476E-11  1.92478E-12  9.80453E-13
  6.600E+00  3.31362E-03  3.73728E-11  1.91244E-11  1.89398E-12  9.69052E-13
  6.700E+00  3.41468E-03  3.62334E-11  1.86223E-11  1.86412E-12  9.57936E-13
  6.800E+00  3.51725E-03  3.51447E-11  1.81403E-11  1.83516E-12  9.47095E-13
  6.900E+00  3.62133E-03  3.41038E-11  1.76772E-11  1.80705E-12  9.36519E-13
  7.000E+00  3.72692E-03  3.31079E-11  1.72321E-11  1.77977E-12  9.26196E-13
  7.100E+00  3.83403E-03  3.21544E-11  1.68041E-11  1.75326E-12  9.16118E-13
  7.200E+00  3.94265E-03  3.12410E-11  1.63922E-11  1.72751E-12  9.06276E-13
  7.300E+00  4.05278E-03  3.03656E-11  1.59956E-11  1.70248E-12  8.96662E-13
  7.400E+00  4.16442E-03  2.95259E-11  1.56136E-11  1.67814E-12  8.87267E-13
  7.500E+00  4.27757E-03  2.87202E-11  1.52455E-11  1.65446E-12  8.78083E-13
  7.600E+00  4.39223E-03  2.79466E-11  1.48906E-11  1.63142E-12  8.69104E-13
  7.700E+00  4.50840E-03  2.72034E-11  1.45483E-11  1.60899E-12  8.60323E-13
  7.800E+00  4.62608E-03  2.64891E-11  1.42179E-11  1.58715E-12  8.51732E-13
  7.900E+00  4.74527E-03  2.58022E-11  1.38989E-11  1.56587E-12  8.43325E-13
  8.000E+00  4.86597E-03  2.51414E-11  1.35908E-11  1.54514E-12  8.35097E-13
  8.100E+00  4.98817E-03  2.45053E-11  1.32931E-11  1.52492E-12  8.27041E-13
  8.200E+00  5.11188E-03  2.38927E-11  1.30053E-11  1.50522E-12  8.19152E-13
  8.300E+00  5.23711E-03  2.33025E-11  1.27270E-11  1.48599E-12  8.11424E-13
  8.400E+00  5.36383E-03  2.27336E-11  1.24577E-11  1.46724E-12  8.03853E-13
  8.500E+00  5.49207E-03  2.21850E-11  1.21971E-11  1.44893E-12  7.96434E-13
  8.600E+00  5.62181E-03  2.16557E-11  1.19448E-11  1.43106E-12  7.89161E-13
  8.700E+00  5.75306E-03  2.11450E-11  1.17004E-11  1.41361E-12  7.82031E-13
  8.800E+00  5.88581E-03  2.06518E-11  1.14637E-11  1.39657E-12  7.75039E-13
  8.900E+00  6.02007E-03  2.01755E-11  1.12342E-11  1.37991E-12  7.68182E-13
  9.000E+00  6.15583E-03  1.97152E-11  1.10117E-11  1.36364E-12  7.61454E-13
  9.100E+00  6.29310E-03  1.92703E-11  1.07958E-11  1.34773E-12  7.54852E-13
  9.200E+00  6.43187E-03  1.88400E-11  1.05865E-11  1.33217E-12  7.48373E-13
  9.300E+00  6.57214E-03  1.84238E-11  1.03833E-11  1.31696E-12  7.42014E-13
  9.400E+00  6.71392E-03  1.80211E-11  1.01860E-11  1.30207E-12  7.35769E-13
  9.500E+00  6.85720E-03  1.76312E-11  9.99440E-12  1.28751E-12  7.29638E-13
  9.600E+00  7.00198E-03  1.72537E-11  9.80829E-12  1.27326E-12  7.23616E-13
  9.700E+00  7.14827E-03  1.68880E-11  9.62746E-12  1.25930E-12  7.17700E-13
  9.800E+00  7.29605E-03  1.65336E-11  9.45169E-12  1.24564E-12  7.11887E-13
  9.900E+00  7.44534E-03  1.61901E-11  9.28079E-12  1.23226E-12  7.06176E-13
  1.000E+01  7.59612E-03  1.58570E-11  9.11460E-12  1.21916E-12  7.00562E-13
  1.025E+01  7.97965E-03  1.50674E-11  8.71853E-12  1.18754E-12  6.86939E-13
  1.050E+01  8.37255E-03  1.43344E-11  8.34826E-12  1.15746E-12  6.73875E-13
  1.075E+01  8.77480E-03  1.36530E-11  8.00156E-12  1.12880E-12  6.61334E-13
  1.100E+01  9.18641E-03  1.30182E-11  7.67644E-12  1.10148E-12  6.49284E-13
  1.125E+01  9.60736E-03  1.24261E-11  7.37113E-12  1.07541E-12  6.37697E-13
  1.150E+01  1.00376E-02  1.18729E-11  7.08403E-12  1.05049E-12  6.26545E-13
  1.175E+01  1.04773E-02  1.13552E-11  6.81370E-12  1.02665E-12  6.15803E-13
