 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   9,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  5.250E-02  2.09900E-07  1.24991E-07  4.72437E-09  5.03158E-11  1.90185E-12
  5.500E-02  2.30367E-07  1.23083E-07  4.70910E-09  5.19073E-11  1.98598E-12
  5.750E-02  2.51785E-07  1.21146E-07  4.69324E-09  5.34126E-11  2.06926E-12
  6.000E-02  2.74156E-07  1.19184E-07  4.67679E-09  5.48323E-11  2.15166E-12
  6.250E-02  2.97478E-07  1.17203E-07  4.65978E-09  5.61674E-11  2.23316E-12
  6.500E-02  3.21752E-07  1.15206E-07  4.64221E-09  5.74191E-11  2.31373E-12
  6.750E-02  3.46978E-07  1.13200E-07  4.62411E-09  5.85889E-11  2.39335E-12
  7.000E-02  3.73156E-07  1.11187E-07  4.60548E-09  5.96784E-11  2.47199E-12
  7.250E-02  4.00286E-07  1.09171E-07  4.58635E-09  6.06894E-11  2.54964E-12
  7.500E-02  4.28368E-07  1.07157E-07  4.56672E-09  6.16240E-11  2.62627E-12
  7.750E-02  4.57402E-07  1.05148E-07  4.54663E-09  6.24843E-11  2.70187E-12
  8.000E-02  4.87388E-07  1.03147E-07  4.52607E-09  6.32725E-11  2.77642E-12
  8.250E-02  5.18325E-07  1.01157E-07  4.50506E-09  6.39909E-11  2.84989E-12
  8.500E-02  5.50215E-07  9.91813E-08  4.48364E-09  6.46421E-11  2.92229E-12
  8.750E-02  5.83057E-07  9.72213E-08  4.46180E-09  6.52283E-11  2.99359E-12
  9.000E-02  6.16850E-07  9.52797E-08  4.43956E-09  6.57521E-11  3.06378E-12
  9.250E-02  6.51596E-07  9.33587E-08  4.41695E-09  6.62161E-11  3.13284E-12
  9.500E-02  6.87293E-07  9.14599E-08  4.39398E-09  6.66226E-11  3.20078E-12
  9.750E-02  7.23942E-07  8.95850E-08  4.37067E-09  6.69741E-11  3.26758E-12
  1.000E-01  7.61543E-07  8.77355E-08  4.34702E-09  6.72733E-11  3.33323E-12
  1.250E-01  1.18991E-06  7.08363E-08  4.09595E-09  6.78944E-11  3.92590E-12
  1.500E-01  1.71347E-06  5.70429E-08  3.82858E-09  6.56086E-11  4.40357E-12
  1.750E-01  2.33223E-06  4.61330E-08  3.55754E-09  6.19040E-11  4.77379E-12
  2.000E-01  3.04617E-06  3.76181E-08  3.29233E-09  5.76895E-11  5.04907E-12
  2.250E-01  3.85531E-06  3.09921E-08  3.03950E-09  5.34694E-11  5.24399E-12
  2.500E-01  4.75964E-06  2.58200E-08  2.80297E-09  4.94958E-11  5.37325E-12
  2.750E-01  5.75916E-06  2.17557E-08  2.58471E-09  4.58753E-11  5.45035E-12
  3.000E-01  6.85388E-06  1.85339E-08  2.38524E-09  4.26348E-11  5.48700E-12
  3.250E-01  8.04378E-06  1.59549E-08  2.20416E-09  3.97606E-11  5.49298E-12
  3.500E-01  9.32888E-06  1.38688E-08  2.04044E-09  3.72206E-11  5.47615E-12
  3.750E-01  1.07092E-05  1.21637E-08  1.89278E-09  3.49764E-11  5.44272E-12
  4.000E-01  1.21846E-05  1.07556E-08  1.75972E-09  3.29896E-11  5.39746E-12
  4.250E-01  1.37553E-05  9.58127E-09  1.63980E-09  3.12244E-11  5.34403E-12
  4.500E-01  1.54212E-05  8.59247E-09  1.53163E-09  2.96492E-11  5.28513E-12
  4.750E-01  1.71822E-05  7.75242E-09  1.43390E-09  2.82368E-11  5.22279E-12
  5.000E-01  1.90385E-05  7.03274E-09  1.34543E-09  2.69638E-11  5.15848E-12
  5.250E-01  2.09899E-05  6.41134E-09  1.26515E-09  2.58104E-11  5.09325E-12
  5.500E-01  2.30365E-05  5.87089E-09  1.19214E-09  2.47603E-11  5.02786E-12
  5.750E-01  2.51783E-05  5.39769E-09  1.12555E-09  2.37994E-11  4.96283E-12
  6.000E-01  2.74153E-05  4.98079E-09  1.06468E-09  2.29161E-11  4.89853E-12
  6.250E-01  2.97475E-05  4.61141E-09  1.00887E-09  2.21007E-11  4.83520E-12
  6.500E-01  3.21749E-05  4.28240E-09  9.57583E-10  2.13450E-11  4.77298E-12
  6.750E-01  3.46974E-05  3.98794E-09  9.10329E-10  2.06418E-11  4.71198E-12
  7.000E-01  3.73152E-05  3.72323E-09  8.66685E-10  1.99855E-11  4.65224E-12
  7.250E-01  4.00281E-05  3.48428E-09  8.26281E-10  1.93709E-11  4.59378E-12
  7.500E-01  4.28362E-05  3.26778E-09  7.88794E-10  1.87938E-11  4.53660E-12
