

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    2850      7.94297725E-05      7.95907638E-05  i
    2900      7.07936046E-05      7.09368082E-05  i
    2950      6.31105253E-05      6.32379426E-05  i
    3000      5.62734250E-05      5.63868279E-05  i
    3100      4.47687927E-05      4.48586936E-05  i
    3200      3.56439817E-05      3.57153222E-05  i
    3300      2.83996549E-05      2.84563203E-05  i
    3400      2.26430655E-05      2.26881138E-05  i
    3500      1.80647850E-05      1.81006274E-05  i
    3600      1.44207516E-05      1.44492911E-05  i
    3700      1.15181589E-05      1.15408999E-05  i
    3800      9.20455211E-06      9.22268460E-06  i
    3900      7.35922560E-06      7.37369278E-06  i
    4000      5.88650124E-06      5.89805064E-06  i
    4100      4.71048586E-06      4.71971091E-06  i
    4200      3.77090412E-06      3.77827640E-06  i
    4300      3.01985323E-06      3.02574780E-06  i
    4400      2.41922238E-06      2.42393742E-06  i
    4500      1.93868253E-06      1.94245566E-06  i
    4600      1.55406519E-06      1.55708570E-06  i
    4700      1.24610698E-06      1.24852592E-06  i
    4800      9.99441635E-07      1.00137955E-06  i
    4900      8.01803419E-07      8.03356349E-07  i
    5000      6.43398832E-07      6.44643706E-07  i
    5100      5.16386407E-07      5.17384650E-07  i
    5200      4.14561483E-07      4.15361962E-07  i
    5300      3.32850900E-07      3.33493144E-07  i
    5400      2.67298689E-07      2.67814023E-07  i
    5500      2.14697235E-07      2.15110903E-07  i
    5600      1.72465411E-07      1.72797441E-07  i
    5700      1.38566425E-07      1.38833098E-07  i
    5800      1.11345244E-07      1.11559407E-07  i
    5900      8.94825758E-08      8.96546452E-08  i
    6000      7.19087263E-08      7.20468391E-08  i
    6100      5.77988392E-08      5.79098867E-08  i
    6200      4.64609208E-08      4.65502508E-08  i
    6300      3.73493420E-08      3.74209403E-08  i
    6400      3.00254357E-08      3.00830239E-08  i
    6500      2.41181963E-08      2.41646286E-08  i
    6600      1.93843920E-08      1.94215722E-08  i
    6700      1.55777908E-08      1.56078484E-08  i
    6800      1.25162998E-08      1.25404386E-08  i
    6900      1.00540641E-08      1.00733489E-08  i
    7000      8.04378579E-09      8.05919031E-09  i
    7100      6.44883699E-09      6.46155805E-09  i
    7200      5.16534730E-09      5.17548492E-09  i
    7300      4.13154695E-09      4.13987180E-09  i
